,product_id,item_price,total_amount,payment_status,price_label
0,31439,269109,276245,Success,middle price
1,47995,521009,8738200,Success,high price
2,46001,251023,8738200,Success,middle price
3,5727,505707,8738200,Success,high price
4,50243,196051,8738200,Success,middle price
5,23321,389081,8738200,Success,high price
6,24712,562747,8738200,Success,high price
7,40278,91519,8738200,Success,low price
8,26440,303328,8738200,Success,middle price
9,22605,183894,8738200,Success,middle price
10,56352,207848,8738200,Success,middle price
11,17361,360400,8738200,Success,high price
12,56290,187504,8738200,Success,middle price
13,37463,270674,8738200,Success,middle price
14,8835,333450,8738200,Success,middle price
15,49597,287870,8738200,Success,middle price
16,45417,178548,8738200,Success,low price
17,29756,231412,8738200,Success,middle price
18,19749,133748,8738200,Success,low price
19,27435,215200,209746,Success,middle price
20,6746,199313,209170,Success,middle price
21,33369,121893,131893,Success,low price
22,51605,222034,1912305,Success,middle price
23,12975,286968,1912305,Success,middle price
24,5149,383697,1912305,Success,high price
25,35008,132598,1912305,Success,low price
26,43234,145702,4654164,Success,low price
27,49128,83265,4654164,Success,low price
28,44465,365201,4654164,Success,high price
29,6104,425895,4654164,Success,high price
30,15030,163437,4654164,Success,low price
31,38957,267414,4654164,Success,middle price
32,1562,300875,4654164,Success,middle price
33,42564,139292,4654164,Success,low price
34,28845,44899,4654164,Success,low price
35,13473,373080,4654164,Success,high price
36,1571,148819,4654164,Success,low price
37,36438,391151,4654164,Success,high price
38,10246,539493,4654164,Success,high price
39,17667,113026,108703,Success,low price
40,33395,282681,282681,Success,middle price
41,34406,234272,244272,Success,middle price
42,31935,137192,162192,Success,low price
43,16193,187674,385348,Success,middle price
44,32314,386647,396647,Success,high price
45,49903,182761,228167,Success,middle price
46,52164,333972,343972,Success,middle price
47,25599,93874,90993,Success,low price
48,23157,198453,205326,Success,middle price
49,55798,308311,318311,Success,middle price
50,39946,272133,454574,Success,middle price
51,39025,85039,454574,Success,low price
52,3162,97402,454574,Success,low price
53,56626,48150,48150,Success,low price
54,3826,206151,1859969,Success,middle price
55,15837,354385,452698,Success,high price
56,30000,95493,452698,Success,low price
57,59990,241187,1457122,Success,middle price
58,37971,355119,1067443,Success,high price
59,20230,362699,372699,Success,high price
60,28229,393868,403868,Success,high price
61,35890,267295,2385333,Success,middle price
62,53264,485559,2385333,Success,high price
63,32308,175206,2385333,Success,low price
64,39785,152102,157102,Success,low price
65,6825,114992,895441,Success,low price
66,8685,194403,895441,Success,middle price
67,51764,323328,895441,Success,middle price
68,58317,252718,895441,Success,middle price
69,46557,220090,1180438,Success,middle price
70,34971,190558,1180438,Success,middle price
71,55389,248203,663536,Success,middle price
72,21543,202433,663536,Success,middle price
73,39462,110756,120756,Success,low price
74,45915,196756,201056,Success,middle price
75,8824,122154,132786,Success,low price
76,58098,220608,446216,Success,middle price
77,43988,217303,227303,Success,middle price
78,46918,263501,268169,Success,middle price
79,28445,130216,130216,Success,low price
80,30800,291265,588978,Success,middle price
